,rep_count_from_intermediate,rep_count_from_start,ref_xy_rotation,time,rotation_matrix_m11,rotation_matrix_m12,rotation_matrix_m13,rotation_matrix_m21,rotation_matrix_m22,rotation_matrix_m23,rotation_matrix_m31,rotation_matrix_m32,rotation_matrix_m33
0,0.4736842105263158,0.0,4.8182613644283,0.0,0.31345245242118835,-0.21886013448238373,-0.9240388870239258,0.09758635610342026,0.9753504395484924,-0.1979101151227951,0.9445763826370239,-0.028138162568211555,0.3270837366580963
1,0.49027919940091025,0.016594988874594516,4.8182613644283,0.05,0.3190750181674957,-0.2161204069852829,-0.9227584600448608,0.09248825907707214,0.9761050343513489,-0.19663383066654205,0.9432057738304138,-0.022603364661335945,0.331439346075058
2,0.5068740668841265,0.033189856357810764,4.8182613644283,0.1,0.33161893486976624,-0.21445204317569733,-0.9187160134315491,0.08539441972970963,0.9766470193862915,-0.19715073704719543,0.9395406246185303,-0.013074328191578388,0.34218764305114746
3,0.5234688116608427,0.049784601134526964,4.8182613644283,0.15000000000000002,0.3504527509212494,-0.21328036487102509,-0.9119728207588196,0.07712976634502411,0.976990818977356,-0.19884651899337769,0.9333991408348083,-0.0006539252935908735,0.35883939266204834
4,0.5400634317583763,0.06637922123206053,4.8182613644283,0.2,0.3798833191394806,-0.2133406549692154,-0.9000969529151917,0.06752893328666687,0.976841151714325,-0.20303015410900116,0.9225663542747498,0.016345201060175896,0.38549232482910156
5,0.5566579245464836,0.08297371402016787,4.8182613644283,0.25,0.4221969544887543,-0.21402782201766968,-0.8808756470680237,0.05850962549448013,0.9761358499526978,-0.2091301530599594,0.9046139717102051,0.03675442561507225,0.42464426159858704
6,0.5732522867373604,0.09956807621104462,4.8182613644283,0.30000000000000004,0.47755521535873413,-0.21485623717308044,-0.851925790309906,0.05239385738968849,0.974876880645752,-0.21649464964866638,0.8770380020141602,0.05875243619084358,0.4768146872520447
7,0.5898465143856413,0.1161623038593255,4.8182613644283,0.35000000000000003,0.5444672703742981,-0.2160136103630066,-0.8104896545410156,0.050907816737890244,0.9729984998703003,-0.2251272201538086,0.8372358083724976,0.08131415396928787,0.5407626628875732
8,0.6064406028884002,0.13275639236208436,4.8182613644283,0.4,0.6200703978538513,-0.2152196168899536,-0.7544489502906799,0.0533503033220768,0.9709784984588623,-0.23314060270786285,0.7827301025390625,0.10431350767612457,0.6135570406913757
9,0.6230345469851499,0.14935033645883417,4.8182613644283,0.45,0.6991395354270935,-0.21291382610797882,-0.6825478672981262,0.06006723642349243,0.9687480926513672,-0.24066366255283356,0.7124575972557068,0.12725870311260223,0.6900792121887207
10,0.6396283407578428,0.16594413023152702,4.8182613644283,0.5,0.7758440375328064,-0.20784388482570648,-0.5957071185112,0.06900513917207718,0.9664703607559204,-0.24733249843120575,0.6271398067474365,0.15078459680080414,0.7641725540161133
11,0.6562219776308698,0.18253776710455408,4.8182613644283,0.55,0.8447337746620178,-0.19931285083293915,-0.49668824672698975,0.07871737331151962,0.9642434120178223,-0.2530578374862671,0.5293660163879395,0.17466849088668823,0.8302183151245117
12,0.6728154503710615,0.19913123984474568,4.8182613644283,0.6000000000000001,0.9014097452163696,-0.1885998547077179,-0.38973143696784973,0.08974982053041458,0.9619826078414917,-0.257942795753479,0.42356282472610474,0.19753383100032806,0.8840672969818115
13,0.6894087510876871,0.21572454056137128,4.8182613644283,0.65,0.9438396096229553,-0.17606693506240845,-0.27958396077156067,0.10101009905338287,0.9594374299049377,-0.2632049024105072,0.31458500027656555,0.220182403922081,0.9233396053314209
14,0.7060018712324552,0.23231766070613946,4.8182613644283,0.7000000000000001,0.9720280766487122,-0.16129858791828156,-0.17071671783924103,0.11119630932807922,0.956301212310791,-0.27041345834732056,0.20687389373779297,0.24386639893054962,0.9474874138832092
